14:17:49.577 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-2090"]
14:17:49.577 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
14:17:49.577 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.46]
14:17:49.655 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
14:17:49.655 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,289] - Root WebApplicationContext: initialization completed in 1819 ms
14:17:49.860 [restartedMain] INFO  org.redisson.Version - [logVersion,41] - Redisson 3.15.2
14:17:50.222 [redisson-netty-2-22] INFO  o.r.c.p.MasterPubSubConnectionPool - [lambda$run$0,165] - 1 connections initialized for localhost/127.0.0.1:6379
14:17:50.226 [redisson-netty-2-20] INFO  o.r.c.p.MasterConnectionPool - [lambda$run$0,165] - 24 connections initialized for localhost/127.0.0.1:6379
14:17:50.809 [restartedMain] INFO  o.s.b.a.e.w.EndpointLinksResolver - [<init>,58] - Exposing 2 endpoint(s) beneath base path '/actuator'
14:17:50.933 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - [startServer,58] - LiveReload server is running on port 35729
14:17:51.382 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-2090"]
14:17:51.390 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 2090 (http) with context path ''
14:17:51.400 [restartedMain] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, edu edu-vr-service 10.0.97.173:2090 register finished
14:17:51.627 [restartedMain] INFO  c.z.e.VrServiceApplication - [logStarted,61] - Started VrServiceApplication in 4.389 seconds (JVM running for 5.027)
14:17:51.632 [restartedMain] INFO  c.z.e.VrServiceApplication - [main,23] - ---------------------------职教云VR模块启动成功---------------------------
14:17:52.187 [RMI TCP Connection(1)-10.0.97.173] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:17:52.187 [RMI TCP Connection(1)-10.0.97.173] INFO  o.s.w.s.DispatcherServlet - [initServletBean,525] - Initializing Servlet 'dispatcherServlet'
